GEOID,NAME,totalE,totalM,nativeE,nativeM,foreign_bornE,foreign_bornM
"24005408400","Census Tract 4084, Baltimore County, Maryland",737,137,610,131,127,47
"24005408505","Census Tract 4085.05, Baltimore County, Maryland",3929,219,3367,225,562,179
"24005408703","Census Tract 4087.03, Baltimore County, Maryland",6114,342,5558,349,556,201
"24005408704","Census Tract 4087.04, Baltimore County, Maryland",5647,267,4790,258,857,190
"24005411306","Census Tract 4113.06, Baltimore County, Maryland",5747,411,4849,450,898,347
"24005411404","Census Tract 4114.04, Baltimore County, Maryland",3754,230,3435,208,319,152
"24005420303","Census Tract 4203.03, Baltimore County, Maryland",1350,91,1333,96,17,16
"24005430300","Census Tract 4303, Baltimore County, Maryland",5599,557,4905,533,694,275
"24005440400","Census Tract 4404, Baltimore County, Maryland",5335,355,4915,340,420,203
"24005450501","Census Tract 4505.01, Baltimore County, Maryland",4229,531,3958,498,271,178
"24005400400","Census Tract 4004, Baltimore County, Maryland",5653,402,5282,413,371,165
"24005400702","Census Tract 4007.02, Baltimore County, Maryland",1874,204,1705,216,169,75
"24005402307","Census Tract 4023.07, Baltimore County, Maryland",5866,699,5194,663,672,365
"24005402602","Census Tract 4026.02, Baltimore County, Maryland",2170,153,1908,206,262,120
"24005402403","Census Tract 4024.03, Baltimore County, Maryland",2229,204,2070,201,159,93
"24005402405","Census Tract 4024.05, Baltimore County, Maryland",3262,304,2871,277,391,244
"24005402504","Census Tract 4025.04, Baltimore County, Maryland",4209,373,3990,372,219,96
"24005403201","Census Tract 4032.01, Baltimore County, Maryland",3252,385,3036,348,216,165
"24005403702","Census Tract 4037.02, Baltimore County, Maryland",4789,638,4111,637,678,354
"24005408900","Census Tract 4089, Baltimore County, Maryland",2871,219,2561,273,310,144
"24005411102","Census Tract 4111.02, Baltimore County, Maryland",2921,232,2833,233,88,43
"24005408502","Census Tract 4085.02, Baltimore County, Maryland",5323,404,4673,371,650,194
"24005408503","Census Tract 4085.03, Baltimore County, Maryland",3170,352,2382,323,788,191
"24005408602","Census Tract 4086.02, Baltimore County, Maryland",2101,158,1861,161,240,90
"24005411407","Census Tract 4114.07, Baltimore County, Maryland",10244,576,9027,626,1217,429
"24005411409","Census Tract 4114.09, Baltimore County, Maryland",5312,298,4795,336,517,196
"24005411410","Census Tract 4114.10, Baltimore County, Maryland",4735,224,4085,210,650,172
"24005420100","Census Tract 4201, Baltimore County, Maryland",3948,300,3568,265,380,299
"24005420200","Census Tract 4202, Baltimore County, Maryland",2328,217,2278,224,50,46
"24005440300","Census Tract 4403, Baltimore County, Maryland",2066,182,1675,137,391,131
"24005440600","Census Tract 4406, Baltimore County, Maryland",2296,212,1909,218,387,118
"24005440800","Census Tract 4408, Baltimore County, Maryland",3359,267,2615,275,744,202
"24005490602","Census Tract 4906.02, Baltimore County, Maryland",2884,221,2580,225,304,164
"24005492002","Census Tract 4920.02, Baltimore County, Maryland",3878,311,3766,300,112,90
"24005401102","Census Tract 4011.02, Baltimore County, Maryland",1114,192,985,193,129,82
"24005401301","Census Tract 4013.01, Baltimore County, Maryland",3774,394,3484,410,290,143
"24005401505","Census Tract 4015.05, Baltimore County, Maryland",4585,605,3828,417,757,339
"24005402407","Census Tract 4024.07, Baltimore County, Maryland",1518,214,1371,227,147,90
"24510280302","Census Tract 2803.02, Baltimore city, Maryland",2121,273,2099,271,22,21
"24510200702","Census Tract 2007.02, Baltimore city, Maryland",1060,134,1057,134,3,5
"24510230100","Census Tract 2301, Baltimore city, Maryland",1868,239,1774,239,94,58
"24510250205","Census Tract 2502.05, Baltimore city, Maryland",4522,545,3840,530,682,188
"24510270402","Census Tract 2704.02, Baltimore city, Maryland",3166,295,2884,304,282,100
"24510250402","Census Tract 2504.02, Baltimore city, Maryland",4973,694,4533,683,440,229
"24510260501","Census Tract 2605.01, Baltimore city, Maryland",5788,667,4095,484,1693,540
"24510261100","Census Tract 2611, Baltimore city, Maryland",1990,156,1886,135,104,58
"24510270502","Census Tract 2705.02, Baltimore city, Maryland",4190,388,4022,365,168,99
"24510270703","Census Tract 2707.03, Baltimore city, Maryland",2522,410,2399,410,123,70
"24510271001","Census Tract 2710.01, Baltimore city, Maryland",2504,259,2341,274,163,120
"24005451401","Census Tract 4514.01, Baltimore County, Maryland",3953,422,3385,338,568,274
"24005451402","Census Tract 4514.02, Baltimore County, Maryland",5598,696,4288,811,1310,718
"24005492300","Census Tract 4923, Baltimore County, Maryland",3868,416,3831,411,37,38
"24005492401","Census Tract 4924.01, Baltimore County, Maryland",3718,323,3191,324,527,241
"24005492402","Census Tract 4924.02, Baltimore County, Maryland",6622,645,5521,564,1101,365
"24005980000","Census Tract 9800, Baltimore County, Maryland",0,12,0,12,0,12
"24005411308","Census Tract 4113.08, Baltimore County, Maryland",3512,211,3226,261,286,158
"24005411309","Census Tract 4113.09, Baltimore County, Maryland",8494,459,7571,492,923,216
"24005430104","Census Tract 4301.04, Baltimore County, Maryland",3138,351,2667,401,471,280
"24005492500","Census Tract 4925, Baltimore County, Maryland",3291,529,2999,490,292,95
"24005492600","Census Tract 4926, Baltimore County, Maryland",3943,349,3182,330,761,329
"24005980100","Census Tract 9801, Baltimore County, Maryland",0,12,0,12,0,12
"24005980200","Census Tract 9802, Baltimore County, Maryland",0,12,0,12,0,12
"24510250101","Census Tract 2501.01, Baltimore city, Maryland",4329,422,4161,400,168,108
"24510250600","Census Tract 2506, Baltimore city, Maryland",0,12,0,12,0,12
"24510260404","Census Tract 2604.04, Baltimore city, Maryland",2079,349,1369,294,710,334
"24510270102","Census Tract 2701.02, Baltimore city, Maryland",3695,353,3517,349,178,94
"24510270501","Census Tract 2705.01, Baltimore city, Maryland",4229,457,4048,475,181,101
"24510270801","Census Tract 2708.01, Baltimore city, Maryland",4322,423,4041,431,281,214
"24510271700","Census Tract 2717, Baltimore city, Maryland",5211,667,4983,649,228,106
"24510280200","Census Tract 2802, Baltimore city, Maryland",4890,642,4747,628,143,96
"24510280301","Census Tract 2803.01, Baltimore city, Maryland",3771,411,3403,397,368,158
"24510160801","Census Tract 1608.01, Baltimore city, Maryland",3231,452,3149,452,82,77
"24510160802","Census Tract 1608.02, Baltimore city, Maryland",3425,388,3425,388,0,12
"24510060300","Census Tract 603, Baltimore city, Maryland",1799,175,1651,169,148,62
"24510080101","Census Tract 801.01, Baltimore city, Maryland",3776,430,3672,420,104,58
"24510080302","Census Tract 803.02, Baltimore city, Maryland",2424,310,2418,306,6,9
"24510080500","Census Tract 805, Baltimore city, Maryland",1783,271,1764,275,19,24
"24510120500","Census Tract 1205, Baltimore city, Maryland",2244,318,2037,308,207,121
"24510130300","Census Tract 1303, Baltimore city, Maryland",2057,332,2019,325,38,37
"24510130803","Census Tract 1308.03, Baltimore city, Maryland",2638,258,2156,321,482,253
"24510140100","Census Tract 1401, Baltimore city, Maryland",4792,534,4170,460,622,211
"24510150500","Census Tract 1505, Baltimore city, Maryland",1597,220,1551,208,46,39
"24510010400","Census Tract 104, Baltimore city, Maryland",2375,272,2191,276,184,81
"24510020200","Census Tract 202, Baltimore city, Maryland",1936,224,1552,195,384,116
"24510030100","Census Tract 301, Baltimore city, Maryland",3340,433,2919,361,421,280
"24510030200","Census Tract 302, Baltimore city, Maryland",2318,266,1857,250,461,143
"24510070100","Census Tract 701, Baltimore city, Maryland",3249,515,2948,533,301,208
"24510080800","Census Tract 808, Baltimore city, Maryland",1063,163,1036,158,27,32
"24510080102","Census Tract 801.02, Baltimore city, Maryland",1904,262,1802,249,102,94
"24510080200","Census Tract 802, Baltimore city, Maryland",1593,190,1569,190,24,23
"24005401506","Census Tract 4015.06, Baltimore County, Maryland",5150,380,4287,337,863,200
"24005401507","Census Tract 4015.07, Baltimore County, Maryland",5842,571,3919,505,1923,490
"24005402406","Census Tract 4024.06, Baltimore County, Maryland",6425,571,5818,580,607,242
"24005402509","Census Tract 4025.09, Baltimore County, Maryland",8964,735,6946,761,2018,681
"24005403401","Census Tract 4034.01, Baltimore County, Maryland",3330,264,2992,245,338,135
"24005403402","Census Tract 4034.02, Baltimore County, Maryland",4676,479,3436,454,1240,325
"24005404101","Census Tract 4041.01, Baltimore County, Maryland",4923,472,3970,558,953,341
"24005404102","Census Tract 4041.02, Baltimore County, Maryland",5992,660,4910,621,1082,295
"24005404403","Census Tract 4044.03, Baltimore County, Maryland",5331,406,4149,364,1182,351
"24005411302","Census Tract 4113.02, Baltimore County, Maryland",3619,311,3144,291,475,120
"24005411406","Census Tract 4114.06, Baltimore County, Maryland",4491,253,4254,266,237,111
"24005420301","Census Tract 4203.01, Baltimore County, Maryland",2557,265,2527,266,30,25
